user_id,segment,signup_date,activation_delay_days,activated,ttv_days,retained_30d,retained_90d,cohort_month,activation_date
76,A,2024-01-01,,0,,0,0,2024-01-01,
702,A,2024-01-01,,0,,0,0,2024-01-01,
788,A,2024-01-01,6.0,1,6.0,1,1,2024-01-01,2024-01-07
893,A,2024-01-01,,0,,0,0,2024-01-01,
527,B,2024-01-01,16.0,1,16.0,1,0,2024-01-01,2024-01-17
642,B,2024-01-01,8.0,1,8.0,1,1,2024-01-01,2024-01-09
885,A,2024-01-02,3.0,1,3.0,0,1,2024-01-01,2024-01-05
838,B,2024-01-02,,0,,0,0,2024-01-01,
277,A,2024-01-02,,0,,0,0,2024-01-01,
1628,A,2024-01-02,2.0,1,2.0,0,1,2024-01-01,2024-01-04
1396,A,2024-01-02,6.0,1,6.0,1,1,2024-01-01,2024-01-08
531,B,2024-01-02,16.0,1,16.0,0,0,2024-01-01,2024-01-18
1530,A,2024-01-02,6.0,1,6.0,1,1,2024-01-01,2024-01-08
577,B,2024-01-02,,0,,0,0,2024-01-01,
131,A,2024-01-02,32.0,1,32.0,1,0,2024-01-01,2024-02-03
854,B,2024-01-03,,0,,0,0,2024-01-01,
1411,B,2024-01-03,9.0,1,9.0,0,1,2024-01-01,2024-01-12
194,B,2024-01-03,21.0,1,21.0,0,0,2024-01-01,2024-01-24
931,A,2024-01-03,9.0,1,9.0,1,0,2024-01-01,2024-01-12
36,A,2024-01-03,,0,,0,0,2024-01-01,
1880,B,2024-01-03,14.0,1,14.0,1,0,2024-01-01,2024-01-17
104,B,2024-01-03,13.0,1,13.0,0,1,2024-01-01,2024-01-16
329,B,2024-01-03,11.0,1,11.0,1,0,2024-01-01,2024-01-14
1262,A,2024-01-03,,0,,0,0,2024-01-01,
189,B,2024-01-04,2.0,1,2.0,1,1,2024-01-01,2024-01-06
1336,B,2024-01-04,15.0,1,15.0,1,0,2024-01-01,2024-01-19
1746,B,2024-01-04,7.0,1,7.0,1,0,2024-01-01,2024-01-11
1591,A,2024-01-04,,0,,0,0,2024-01-01,
1078,A,2024-01-05,18.0,1,18.0,0,1,2024-01-01,2024-01-23
1745,B,2024-01-05,4.0,1,4.0,0,0,2024-01-01,2024-01-09
127,A,2024-01-05,2.0,1,2.0,1,0,2024-01-01,2024-01-07
185,B,2024-01-05,18.0,1,18.0,0,0,2024-01-01,2024-01-23
1068,B,2024-01-05,5.0,1,5.0,0,0,2024-01-01,2024-01-10
456,A,2024-01-06,3.0,1,3.0,1,0,2024-01-01,2024-01-09
1500,B,2024-01-06,14.0,1,14.0,1,0,2024-01-01,2024-01-20
770,B,2024-01-06,15.0,1,15.0,1,0,2024-01-01,2024-01-21
1850,B,2024-01-06,11.0,1,11.0,1,0,2024-01-01,2024-01-17
1423,A,2024-01-06,6.0,1,6.0,1,1,2024-01-01,2024-01-12
1974,A,2024-01-07,,0,,0,0,2024-01-01,
1139,A,2024-01-07,5.0,1,5.0,1,1,2024-01-01,2024-01-12
